CaseID,UniqueLabels,Corr_TrainedWithSkips,Corr_RandomNoSkips
BraTS20_Training_001,0;1;2;4,-0.676218,-0.137147
BraTS20_Training_002,0;1;2;4,-0.683649,-0.254638
BraTS20_Training_003,0;1;2;4,-0.686977,-0.092577
BraTS20_Training_004,0;1;2;4,-0.620998,-0.093958
BraTS20_Training_005,0;1;2;4,-0.642791,0.315353
BraTS20_Training_006,0;1;2;4,-0.603341,0.111012
BraTS20_Training_007,0;1;2;4,-0.679977,0.017856
BraTS20_Training_008,0;1;2;4,-0.676028,-0.055265
BraTS20_Training_009,0;1;2;4,-0.665048,-0.015464
BraTS20_Training_010,0;1;2;4,-0.684887,-0.034486
BraTS20_Training_011,0;1;2;4,-0.642665,-0.007179
BraTS20_Training_012,0;1;2;4,-0.653262,-0.082972
BraTS20_Training_013,0;1;2;4,-0.668313,0.209593
BraTS20_Training_014,0;1;2;4,-0.674720,-0.083587
BraTS20_Training_015,0;1;2;4,-0.651646,-0.281010
BraTS20_Training_016,0;1;2;4,-0.663147,0.056314
BraTS20_Training_017,0;1;2;4,-0.652286,0.125945
BraTS20_Training_018,0;1;2;4,-0.668253,0.174671
BraTS20_Training_019,0;1;2;4,-0.677655,0.009116
BraTS20_Training_020,0;1;2;4,-0.678697,0.111493
BraTS20_Training_021,0;1;2;4,-0.674493,-0.017445
BraTS20_Training_022,0;1;2;4,-0.634788,-0.315863
BraTS20_Training_023,0;1;2;4,-0.650756,-0.107422
BraTS20_Training_024,0;1;2;4,-0.656508,-0.092084
BraTS20_Training_025,0;1;2;4,-0.594539,-0.268328
BraTS20_Training_026,0;1;2;4,-0.590188,0.025152
BraTS20_Training_027,0;1;2;4,-0.675407,0.170857
BraTS20_Training_028,0;1;2;4,-0.648727,0.148784
BraTS20_Training_029,0;1;2;4,-0.659379,0.103036
BraTS20_Training_030,0;1;2;4,-0.683599,-0.018654
BraTS20_Training_031,0;1;2;4,-0.626812,0.221891
BraTS20_Training_032,0;1;2;4,-0.660474,0.059119
BraTS20_Training_033,0;1;2;4,-0.585840,-0.077278
BraTS20_Training_034,0;1;2;4,-0.632469,-0.108142
BraTS20_Training_035,0;1;2;4,-0.675959,-0.053635
BraTS20_Training_036,0;1;2;4,-0.627673,0.097370
BraTS20_Training_037,0;1;2;4,-0.661620,0.105831
BraTS20_Training_038,0;1;2;4,-0.628703,-0.194341
BraTS20_Training_039,0;1;2;4,-0.682653,-0.131280
BraTS20_Training_040,0;1;2;4,-0.642070,-0.151195
BraTS20_Training_041,0;1;2;4,-0.658701,0.026608
BraTS20_Training_042,0;1;2;4,-0.595947,-0.141807
BraTS20_Training_043,0;1;2;4,-0.696089,0.000530
BraTS20_Training_044,0;1;2;4,-0.667910,0.021243
BraTS20_Training_045,0;1;2;4,-0.655149,0.016230
BraTS20_Training_046,0;1;2;4,-0.700549,-0.218802
BraTS20_Training_047,0;1;2;4,-0.643998,-0.097758
BraTS20_Training_048,0;1;2;4,-0.685181,0.180083
BraTS20_Training_049,0;1;2;4,-0.630546,0.202686
BraTS20_Training_050,0;1;2;4,-0.632777,-0.272745
BraTS20_Training_051,0;1;2;4,-0.633388,-0.178241
BraTS20_Training_052,0;1;2;4,-0.602080,0.002173
BraTS20_Training_053,0;1;2;4,-0.644126,-0.086211
BraTS20_Training_054,0;1;2;4,-0.655748,0.221310
BraTS20_Training_055,0;1;2;4,-0.647967,0.268486
BraTS20_Training_056,0;1;2;4,-0.669970,-0.015935
BraTS20_Training_057,0;1;2;4,-0.632069,-0.069155
BraTS20_Training_058,0;1;2;4,-0.667186,-0.113930
BraTS20_Training_059,0;1;2;4,-0.703746,0.194234
BraTS20_Training_060,0;1;2;4,-0.664530,-0.177000
BraTS20_Training_061,0;1;2;4,-0.662981,0.097566
BraTS20_Training_062,0;1;2;4,-0.604053,0.167597
BraTS20_Training_063,0;1;2;4,-0.670485,0.273818
BraTS20_Training_064,0;1;2;4,-0.687937,0.050429
BraTS20_Training_065,0;1;2;4,-0.686579,-0.125283
BraTS20_Training_066,0;1;2;4,-0.679186,0.063762
BraTS20_Training_067,0;1;2;4,-0.647262,-0.111421
BraTS20_Training_068,0;1;2;4,-0.671642,0.073952
BraTS20_Training_069,0;1;2;4,-0.683635,0.008572
BraTS20_Training_070,0;1;2;4,-0.688350,-0.019639
BraTS20_Training_071,0;1;2;4,-0.618398,-0.235544
BraTS20_Training_072,0;1;2;4,-0.692956,-0.224455
BraTS20_Training_073,0;1;2;4,-0.568049,-0.128182
BraTS20_Training_074,0;1;2;4,-0.603650,-0.219819
BraTS20_Training_075,0;1;2;4,-0.575003,0.288222
BraTS20_Training_076,0;1;2;4,-0.662884,-0.251288
BraTS20_Training_077,0;1;2;4,-0.668154,0.001514
BraTS20_Training_078,0;1;2;4,-0.663412,-0.071437
BraTS20_Training_079,0;1;2;4,-0.686525,-0.066608
BraTS20_Training_080,0;1;2;4,-0.669311,0.075754
BraTS20_Training_081,0;1;2;4,-0.628052,-0.147832
BraTS20_Training_082,0;1;2;4,-0.677394,-0.303056
BraTS20_Training_083,0;1;2;4,-0.649317,0.102858
BraTS20_Training_084,0;1;2;4,-0.664156,0.085404
BraTS20_Training_085,0;1;2;4,-0.633412,-0.077492
BraTS20_Training_086,0;1;2;4,-0.686874,0.086081
BraTS20_Training_087,0;1;2;4,-0.650982,-0.090583
BraTS20_Training_088,0;1;2;4,-0.650863,-0.024541
BraTS20_Training_089,0;1;2;4,-0.678165,0.057849
BraTS20_Training_090,0;1;2;4,-0.620376,-0.184431
BraTS20_Training_091,0;1;2;4,-0.605957,0.217320
BraTS20_Training_092,0;1;2;4,-0.632402,-0.082523
BraTS20_Training_093,0;1;2;4,-0.649490,0.026300
BraTS20_Training_094,0;1;2;4,-0.685610,-0.134971
BraTS20_Training_095,0;1;2;4,-0.629285,0.061696
BraTS20_Training_096,0;1;2;4,-0.646812,-0.220352
BraTS20_Training_097,0;1;2;4,-0.638901,-0.207658
BraTS20_Training_098,0;1;2;4,-0.596725,0.116779
BraTS20_Training_099,0;2;4,-0.662553,0.202680
BraTS20_Training_100,0;1;2;4,-0.630502,0.145644
BraTS20_Training_101,0;1;2;4,-0.642097,-0.066850
BraTS20_Training_102,0;1;2;4,-0.669067,0.087179
BraTS20_Training_103,0;1;2;4,-0.629084,-0.236305
BraTS20_Training_104,0;1;2;4,-0.555581,-0.110617
BraTS20_Training_105,0;1;2;4,-0.682198,0.091876
BraTS20_Training_106,0;1;2;4,-0.640608,0.348441
BraTS20_Training_107,0;1;2;4,-0.683552,-0.151271
BraTS20_Training_108,0;1;2;4,-0.652187,0.166178
BraTS20_Training_109,0;1;2;4,-0.619297,0.045667
BraTS20_Training_110,0;1;2;4,-0.673726,0.009590
BraTS20_Training_111,0;1;2;4,-0.661985,0.049315
BraTS20_Training_112,0;1;2;4,-0.640954,0.084568
BraTS20_Training_113,0;1;2;4,-0.641093,0.026679
BraTS20_Training_114,0;1;2;4,-0.626315,-0.181748
BraTS20_Training_115,0;1;2;4,-0.612146,0.006104
BraTS20_Training_116,0;1;2;4,-0.661384,-0.070736
BraTS20_Training_117,0;1;2;4,-0.641773,0.093789
BraTS20_Training_118,0;1;2;4,-0.619959,0.044404
BraTS20_Training_119,0;1;2;4,-0.692648,0.305981
BraTS20_Training_120,0;1;2;4,-0.542434,0.167608
BraTS20_Training_121,0;1;2;4,-0.592005,0.005498
BraTS20_Training_122,0;1;2;4,-0.669637,-0.025450
BraTS20_Training_123,0;1;2;4,-0.655385,0.132953
BraTS20_Training_124,0;1;2;4,-0.695006,-0.071108
BraTS20_Training_125,0;1;2;4,-0.518500,-0.192774
BraTS20_Training_126,0;1;2;4,-0.651060,0.236286
BraTS20_Training_127,0;1;2;4,-0.649144,0.177212
BraTS20_Training_128,0;1;2;4,-0.618400,0.123140
BraTS20_Training_129,0;1;2;4,-0.667085,0.083993
BraTS20_Training_130,0;1;2;4,-0.653432,-0.204972
BraTS20_Training_131,0;1;2;4,-0.608935,-0.070914
BraTS20_Training_132,0;1;2;4,-0.629306,-0.274916
BraTS20_Training_133,0;1;2;4,-0.662090,0.389158
BraTS20_Training_134,0;1;2;4,-0.615690,0.038635
BraTS20_Training_135,0;1;2;4,-0.647754,-0.067980
BraTS20_Training_136,0;1;2;4,-0.624271,-0.041828
BraTS20_Training_137,0;1;2;4,-0.666762,-0.102072
BraTS20_Training_138,0;1;2;4,-0.626484,0.181228
BraTS20_Training_139,0;1;2;4,-0.612859,-0.363391
BraTS20_Training_140,0;1;2;4,-0.650747,0.113460
BraTS20_Training_141,0;1;2;4,-0.619897,-0.039264
BraTS20_Training_142,0;1;2;4,-0.635390,0.048963
BraTS20_Training_143,0;1;2;4,-0.648048,0.008135
BraTS20_Training_144,0;1;2;4,-0.625421,-0.172116
BraTS20_Training_145,0;1;2;4,-0.662037,0.095032
BraTS20_Training_146,0;1;2;4,-0.691723,-0.265366
BraTS20_Training_147,0;1;2;4,-0.682776,-0.032309
BraTS20_Training_148,0;1;2;4,-0.633278,0.076415
BraTS20_Training_149,0;1;2;4,-0.658860,-0.013946
BraTS20_Training_150,0;1;2;4,-0.752409,0.082250
BraTS20_Training_151,0;1;2;4,-0.711998,0.099568
BraTS20_Training_152,0;1;2;4,-0.672171,-0.058677
BraTS20_Training_153,0;1;2;4,-0.661216,0.078390
BraTS20_Training_154,0;1;2;4,-0.609863,-0.006453
BraTS20_Training_155,0;1;2;4,-0.620157,-0.120994
BraTS20_Training_156,0;1;2;4,-0.639094,0.162037
BraTS20_Training_157,0;1;2;4,-0.688880,0.165227
BraTS20_Training_158,0;1;2;4,-0.716378,-0.047299
BraTS20_Training_159,0;1;2;4,-0.676693,0.101212
BraTS20_Training_160,0;1;2;4,-0.658858,0.315680
BraTS20_Training_161,0;1;2;4,-0.679183,0.018780
BraTS20_Training_162,0;1;2;4,-0.661289,0.140434
BraTS20_Training_163,0;1;2;4,-0.594089,-0.009644
BraTS20_Training_164,0;1;2;4,-0.628604,0.073531
BraTS20_Training_165,0;1;2;4,-0.689314,-0.019645
BraTS20_Training_166,0;1;2;4,-0.660079,0.219530
BraTS20_Training_167,0;1;2;4,-0.719289,-0.099238
BraTS20_Training_168,0;1;2;4,-0.684397,-0.109049
BraTS20_Training_169,0;1;2;4,-0.672972,-0.172743
BraTS20_Training_170,0;1;2;4,-0.682051,-0.186209
BraTS20_Training_171,0;1;2;4,-0.692091,0.114004
BraTS20_Training_172,0;1;2;4,-0.660489,-0.105527
BraTS20_Training_173,0;1;2;4,-0.700362,-0.131712
BraTS20_Training_174,0;1;2;4,-0.642520,0.087597
BraTS20_Training_175,0;1;2;4,-0.668938,0.145305
BraTS20_Training_176,0;1;2;4,-0.683826,0.008901
BraTS20_Training_177,0;1;2;4,-0.694761,-0.003592
BraTS20_Training_178,0;1;2;4,-0.685516,0.042605
BraTS20_Training_179,0;1;2;4,-0.662551,-0.284820
BraTS20_Training_180,0;1;2;4,-0.644992,0.167807
BraTS20_Training_181,0;1;2;4,-0.695229,0.094076
BraTS20_Training_182,0;1;2;4,-0.586271,-0.018329
BraTS20_Training_183,0;1;2;4,-0.663374,0.015352
BraTS20_Training_184,0;1;2;4,-0.705695,-0.223622
BraTS20_Training_185,0;1;2;4,-0.707818,0.024496
BraTS20_Training_186,0;1;2;4,-0.662632,-0.010291
BraTS20_Training_187,0;1;2;4,-0.643812,0.195455
BraTS20_Training_188,0;1;2;4,-0.698947,0.030695
BraTS20_Training_189,0;1;2;4,-0.631411,-0.094832
BraTS20_Training_190,0;1;2;4,-0.664172,-0.224944
BraTS20_Training_191,0;1;2;4,-0.693022,0.262747
BraTS20_Training_192,0;1;2;4,-0.594517,-0.333918
